salario_medio,herramienta,valor_booleano
47500.0,07 - sql,1
47500.0,07 - sql,1
22500.0,07 - sql,1
22500.0,07 - sql,1
22500.0,07 - sql,1
22500.0,07 - sql,1
34500.0,07 - sql,1
22500.0,07 - sql,1
22500.0,07 - sql,1
22500.0,07 - sql,1
27500.0,07 - sql,1
27500.0,07 - sql,1
30000.0,07 - sql,1
22500.0,07 - sql,1
22000.0,07 - sql,1
62500.0,07 - sql,1
45000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
45500.0,07 - sql,1
27000.0,07 - sql,1
39000.0,07 - sql,1
33000.0,07 - sql,1
45000.0,07 - sql,1
39000.0,07 - sql,1
27000.0,07 - sql,1
39000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
33000.0,07 - sql,1
27000.0,07 - sql,1
27000.0,07 - sql,1
33000.0,07 - sql,1
27000.0,07 - sql,1
45000.0,07 - sql,1
45000.0,07 - sql,1
51000.0,07 - sql,1
45000.0,07 - sql,1
33000.0,07 - sql,1
27000.0,07 - sql,1
32500.0,07 - sql,1
21000.0,07 - sql,1
33000.0,07 - sql,1
51000.0,11 - java,1
44000.0,11 - java,1
27500.0,11 - java,1
49500.0,11 - java,1
41000.0,11 - java,1
37500.0,11 - java,1
55250.0,11 - java,1
45000.0,11 - java,1
30000.0,11 - java,1
34500.0,11 - java,1
33000.0,11 - java,1
36000.0,11 - java,1
37500.0,11 - java,1
28500.0,11 - java,1
39000.0,11 - java,1
37500.0,11 - java,1
42000.0,11 - java,1
66000.0,11 - java,1
42000.0,11 - java,1
46500.0,11 - java,1
43500.0,11 - java,1
30000.0,11 - java,1
22500.0,11 - java,1
40500.0,11 - java,1
39000.0,11 - java,1
36000.0,11 - java,1
54000.0,11 - java,1
55500.0,11 - java,1
51000.0,11 - java,1
30000.0,11 - java,1
27000.0,11 - java,1
43500.0,11 - java,1
51000.0,11 - java,1
36000.0,11 - java,1
39000.0,11 - java,1
46500.0,11 - java,1
36000.0,11 - java,1
27000.0,11 - java,1
49500.0,11 - java,1
52500.0,11 - java,1
42000.0,11 - java,1
54000.0,11 - java,1
52500.0,11 - java,1
34500.0,11 - java,1
39000.0,11 - java,1
39000.0,11 - java,1
34500.0,11 - java,1
60000.0,11 - java,1
57000.0,11 - java,1
54000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
30000.0,11 - java,1
46500.0,11 - java,1
36000.0,11 - java,1
34500.0,11 - java,1
51000.0,11 - java,1
43500.0,11 - java,1
36000.0,11 - java,1
33000.0,11 - java,1
43500.0,11 - java,1
63000.0,11 - java,1
36000.0,11 - java,1
49500.0,11 - java,1
43500.0,11 - java,1
28500.0,11 - java,1
33000.0,11 - java,1
39000.0,11 - java,1
49500.0,11 - java,1
55500.0,11 - java,1
60000.0,11 - java,1
39000.0,11 - java,1
49500.0,11 - java,1
39000.0,11 - java,1
30000.0,11 - java,1
58500.0,11 - java,1
37500.0,11 - java,1
39000.0,11 - java,1
33000.0,11 - java,1
39000.0,11 - java,1
46500.0,11 - java,1
37500.0,11 - java,1
57000.0,11 - java,1
37500.0,11 - java,1
37500.0,11 - java,1
37500.0,11 - java,1
37500.0,11 - java,1
24000.0,11 - java,1
31500.0,11 - java,1
39000.0,11 - java,1
52500.0,11 - java,1
33000.0,11 - java,1
36000.0,11 - java,1
31500.0,11 - java,1
42000.0,11 - java,1
37500.0,11 - java,1
54000.0,11 - java,1
37500.0,11 - java,1
33000.0,11 - java,1
31500.0,11 - java,1
40500.0,11 - java,1
34500.0,11 - java,1
36000.0,11 - java,1
31500.0,11 - java,1
51000.0,11 - java,1
43500.0,11 - java,1
42000.0,11 - java,1
31500.0,11 - java,1
39000.0,11 - java,1
43500.0,11 - java,1
43500.0,11 - java,1
27000.0,11 - java,1
28500.0,11 - java,1
46500.0,11 - java,1
45000.0,11 - java,1
37500.0,11 - java,1
25500.0,11 - java,1
33000.0,11 - java,1
34500.0,11 - java,1
25500.0,11 - java,1
33000.0,11 - java,1
42000.0,11 - java,1
28500.0,11 - java,1
40500.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
51000.0,11 - java,1
49500.0,11 - java,1
33000.0,11 - java,1
30000.0,11 - java,1
27000.0,11 - java,1
46500.0,11 - java,1
39000.0,11 - java,1
42000.0,11 - java,1
25500.0,11 - java,1
28500.0,11 - java,1
55500.0,11 - java,1
39000.0,11 - java,1
39000.0,11 - java,1
25500.0,11 - java,1
48000.0,11 - java,1
39000.0,11 - java,1
54000.0,11 - java,1
46500.0,11 - java,1
42000.0,11 - java,1
43500.0,11 - java,1
34500.0,11 - java,1
43500.0,11 - java,1
21000.0,11 - java,1
46500.0,11 - java,1
36000.0,11 - java,1
27000.0,11 - java,1
43500.0,11 - java,1
51000.0,11 - java,1
28500.0,11 - java,1
31500.0,11 - java,1
55500.0,11 - java,1
37500.0,11 - java,1
43500.0,11 - java,1
40500.0,11 - java,1
42000.0,11 - java,1
39000.0,11 - java,1
25500.0,11 - java,1
34500.0,11 - java,1
30000.0,11 - java,1
42000.0,11 - java,1
30000.0,11 - java,1
33000.0,11 - java,1
25500.0,11 - java,1
34500.0,11 - java,1
25500.0,11 - java,1
40500.0,11 - java,1
30000.0,11 - java,1
34500.0,11 - java,1
49500.0,11 - java,1
46500.0,11 - java,1
40500.0,11 - java,1
25500.0,11 - java,1
31500.0,11 - java,1
43500.0,11 - java,1
34500.0,11 - java,1
31500.0,11 - java,1
40500.0,11 - java,1
28500.0,11 - java,1
43500.0,11 - java,1
34500.0,11 - java,1
37500.0,11 - java,1
54000.0,11 - java,1
21000.0,11 - java,1
31500.0,11 - java,1
33000.0,11 - java,1
34500.0,11 - java,1
31500.0,11 - java,1
54000.0,11 - java,1
30000.0,11 - java,1
37500.0,11 - java,1
25500.0,11 - java,1
35000.0,11 - java,1
37500.0,11 - java,1
40000.0,11 - java,1
40000.0,11 - java,1
23500.0,11 - java,1
32000.0,11 - java,1
45000.0,11 - java,1
30000.0,11 - java,1
33500.0,11 - java,1
33000.0,11 - java,1
35000.0,11 - java,1
36500.0,11 - java,1
55000.0,11 - java,1
62000.0,11 - java,1
62000.0,11 - java,1
39500.0,11 - java,1
39000.0,11 - java,1
26000.0,11 - java,1
30000.0,11 - java,1
45500.0,11 - java,1
29000.0,11 - java,1
26000.0,11 - java,1
34500.0,11 - java,1
45000.0,11 - java,1
51000.0,11 - java,1
59000.0,11 - java,1
30000.0,11 - java,1
30000.0,11 - java,1
30500.0,11 - java,1
18000.0,11 - java,1
40000.0,11 - java,1
51500.0,11 - java,1
24000.0,11 - java,1
23500.0,11 - java,1
57000.0,11 - java,1
26000.0,11 - java,1
38000.0,11 - java,1
43500.0,11 - java,1
26000.0,11 - java,1
26000.0,11 - java,1
35000.0,11 - java,1
33000.0,11 - java,1
34500.0,11 - java,1
20000.0,11 - java,1
40500.0,11 - java,1
39500.0,11 - java,1
62000.0,11 - java,1
28500.0,11 - java,1
33000.0,11 - java,1
21500.0,11 - java,1
30500.0,11 - java,1
49000.0,11 - java,1
31500.0,11 - java,1
27000.0,11 - java,1
41000.0,11 - java,1
59000.0,11 - java,1
33000.0,11 - java,1
31000.0,11 - java,1
35000.0,11 - java,1
52000.0,11 - java,1
25500.0,11 - java,1
23000.0,11 - java,1
31500.0,11 - java,1
40000.0,11 - java,1
22500.0,11 - java,1
37500.0,11 - java,1
33000.0,11 - java,1
65000.0,11 - java,1
33000.0,11 - java,1
34500.0,11 - java,1
42000.0,11 - java,1
26000.0,11 - java,1
41500.0,11 - java,1
31000.0,11 - java,1
38000.0,11 - java,1
38500.0,11 - java,1
30500.0,11 - java,1
27000.0,11 - java,1
51000.0,11 - java,1
51500.0,11 - java,1
33000.0,11 - java,1
41500.0,11 - java,1
40000.0,11 - java,1
40500.0,11 - java,1
34500.0,11 - java,1
54000.0,11 - java,1
31500.0,11 - java,1
40000.0,11 - java,1
34500.0,11 - java,1
37500.0,11 - java,1
43000.0,11 - java,1
29000.0,11 - java,1
39000.0,11 - java,1
36500.0,11 - java,1
33000.0,11 - java,1
36000.0,11 - java,1
43000.0,11 - java,1
40500.0,11 - java,1
42000.0,11 - java,1
31500.0,11 - java,1
31500.0,11 - java,1
33000.0,11 - java,1
37500.0,11 - java,1
33000.0,11 - java,1
28000.0,11 - java,1
28000.0,11 - java,1
43500.0,11 - java,1
41500.0,11 - java,1
33000.0,11 - java,1
28500.0,11 - java,1
33000.0,11 - java,1
31000.0,11 - java,1
33000.0,11 - java,1
31500.0,11 - java,1
36000.0,11 - java,1
24500.0,11 - java,1
24500.0,11 - java,1
33000.0,11 - java,1
21000.0,11 - java,1
28500.0,11 - java,1
40000.0,11 - java,1
26000.0,11 - java,1
32500.0,11 - java,1
44000.0,11 - java,1
29000.0,11 - java,1
34000.0,11 - java,1
28600.0,11 - java,1
45000.0,11 - java,1
30500.0,11 - java,1
19000.0,11 - java,1
42000.0,11 - java,1
33800.0,11 - java,1
25000.0,11 - java,1
32000.0,11 - java,1
46000.0,11 - java,1
43000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
42500.0,11 - java,1
51000.0,11 - java,1
35000.0,11 - java,1
35000.0,11 - java,1
28000.0,11 - java,1
26000.0,11 - java,1
31300.0,11 - java,1
33000.0,11 - java,1
25500.0,11 - java,1
48000.0,11 - java,1
26400.0,11 - java,1
40000.0,11 - java,1
39500.0,11 - java,1
31500.0,11 - java,1
35000.0,11 - java,1
42500.0,11 - java,1
24000.0,11 - java,1
55000.0,11 - java,1
19000.0,11 - java,1
25000.0,11 - java,1
26000.0,11 - java,1
20000.0,11 - java,1
45000.0,11 - java,1
20000.0,11 - java,1
20000.0,11 - java,1
30000.0,11 - java,1
30000.0,11 - java,1
33000.0,11 - java,1
22500.0,11 - java,1
33000.0,11 - java,1
20800.0,11 - java,1
41500.0,11 - java,1
35000.0,11 - java,1
57000.0,11 - java,1
55000.0,11 - java,1
57000.0,11 - java,1
27600.0,11 - java,1
27600.0,11 - java,1
23500.0,11 - java,1
31500.0,11 - java,1
29500.0,11 - java,1
27500.0,11 - java,1
37500.0,11 - java,1
22500.0,11 - java,1
45000.0,11 - java,1
31500.0,11 - java,1
40000.0,11 - java,1
23000.0,11 - java,1
50000.0,11 - java,1
50000.0,11 - java,1
32500.0,11 - java,1
42000.0,11 - java,1
50000.0,11 - java,1
55000.0,11 - java,1
35000.0,11 - java,1
39000.0,11 - java,1
37000.0,11 - java,1
45000.0,11 - java,1
27500.0,11 - java,1
32000.0,11 - java,1
30000.0,11 - java,1
38500.0,11 - java,1
33000.0,11 - java,1
44500.0,11 - java,1
36000.0,11 - java,1
30000.0,11 - java,1
26000.0,11 - java,1
44000.0,11 - java,1
55000.0,11 - java,1
34500.0,11 - java,1
30000.0,11 - java,1
51625.0,11 - java,1
51000.0,11 - java,1
26500.0,11 - java,1
37500.0,11 - java,1
26500.0,11 - java,1
55000.0,11 - java,1
27500.0,11 - java,1
27500.0,11 - java,1
27500.0,11 - java,1
30000.0,11 - java,1
22500.0,11 - java,1
39000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
39000.0,11 - java,1
